measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,184,Republic of Mozambique,3,Both,22,All ages,945,Conflict and terrorism,1,Number,2021,980.8122090998221,1258.2963588578198,756.0935550287509
1,Deaths,184,Republic of Mozambique,3,Both,22,All ages,945,Conflict and terrorism,2,Percent,2021,0.0032169188402297387,0.004319782231098004,0.0023844276135599365
1,Deaths,184,Republic of Mozambique,3,Both,22,All ages,945,Conflict and terrorism,3,Rate,2021,3.156512490123216,4.049529702180782,2.433308566112091
1,Deaths,22,Republic of Fiji,3,Both,22,All ages,294,All causes,1,Number,2021,9448.30416950498,11937.404270955656,7219.279431415872
1,Deaths,22,Republic of Fiji,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,22,Republic of Fiji,3,Both,22,All ages,294,All causes,3,Rate,2021,1022.0194754795324,1291.264488601708,780.9067156886836
1,Deaths,136,Republic of Paraguay,3,Both,22,All ages,945,Conflict and terrorism,1,Number,2021,4.033313924456586,4.43533406871902,3.6678957196000357
1,Deaths,136,Republic of Paraguay,3,Both,22,All ages,945,Conflict and terrorism,2,Percent,2021,7.99793927138012e-05,9.44823576704431e-05,6.578737712580995e-05
1,Deaths,136,Republic of Paraguay,3,Both,22,All ages,945,Conflict and terrorism,3,Rate,2021,0.05626173084312684,0.061869612990077635,0.051164418540666355
1,Deaths,202,Republic of Cameroon,3,Both,22,All ages,294,All causes,1,Number,2021,260685.35985463002,303641.79575243325,224844.18503981788
1,Deaths,202,Republic of Cameroon,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,202,Republic of Cameroon,3,Both,22,All ages,294,All causes,3,Rate,2021,820.2906644452536,955.4603700415273,707.5103337057922
1,Deaths,38,Mongolia,3,Both,22,All ages,945,Conflict and terrorism,1,Number,2021,0.0,0.0,0.0
1,Deaths,38,Mongolia,3,Both,22,All ages,945,Conflict and terrorism,2,Percent,2021,0.0,0.0,0.0
1,Deaths,38,Mongolia,3,Both,22,All ages,945,Conflict and terrorism,3,Rate,2021,0.0,0.0,0.0
1,Deaths,169,Central African Republic,3,Both,22,All ages,945,Conflict and terrorism,1,Number,2021,1081.9566140725065,1196.94346916286,977.8975934743112
1,Deaths,169,Central African Republic,3,Both,22,All ages,945,Conflict and terrorism,2,Percent,2021,0.014819143940668267,0.018304952179033152,0.011825489440783547
1,Deaths,169,Central African Republic,3,Both,22,All ages,945,Conflict and terrorism,3,Rate,2021,19.72884740608257,21.825565600025694,17.831391896401094
1,Deaths,186,Republic of Seychelles,3,Both,22,All ages,294,All causes,1,Number,2021,861.2282717643809,931.1895790840925,802.6089497628774
1,Deaths,186,Republic of Seychelles,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,186,Republic of Seychelles,3,Both,22,All ages,294,All causes,3,Rate,2021,816.860526164169,883.2176491035178,761.2610854776283
1,Deaths,88,Republic of Malta,3,Both,22,All ages,294,All causes,1,Number,2021,4035.3205067574227,4271.599975123949,3812.2755688244497
1,Deaths,88,Republic of Malta,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
1,Deaths,88,Republic of Malta,3,Both,22,All ages,294,All causes,3,Rate,2021,912.5160854040342,965.9464920282708,862.0784328579841
1,Deaths,71,Australia,3,Both,22,All ages,945,Conflict and terrorism,1,Number,2021,0.0,0.0,0.0
1,Deaths,71,Australia,3,Both,22,All ages,945,Conflict and terrorism,2,Percent,2021,0.0,0.0,0.0
1,Deaths,71,Australia,3,Both,22,All ages,945,Conflict and terrorism,3,Rate,2021,0.0,0.0,0.0
1,Deaths,55,Republic of Slovenia,3,Both,22,All ages,294,All causes,1,Number,2021,23019.297804547714,23891.113363785043,22092.581130829007
1,Deaths,55,Republic of Slovenia,3,Both,22,All ages,294,All causes,2,Percent,2021,1.0,1.0,1.0
